loan_id,gross_book_value,asset,begin_date,principal,end_date,account_id,currency_type,interest_rate_period,interest_type,interest_rate
216334785,29900,Logbook Loan,1/16/20 10:42,26000,4/16/20 0:00,725339,KES,year,Flat,60.8333333
103500041,9450,Logbook Loan,7/29/19 16:15,9000,8/28/19 0:00,716632,KES,year,Flat,60.8333333
104051605,1332000,Plot Purchase Financing,7/30/19 0:00,900000,10/3/22 0:00,64176228,KES,year,Flat,16
104051607,6800,Emergency Loan,7/30/19 11:58,6800,8/29/19 0:00,1655503,KES,year,Flat,0
104051609,15000,Emergency Loan,7/30/19 12:19,15000,8/29/19 0:00,32451336,KES,year,Flat,0
128821217,20000,Emergency Loan,9/3/19 12:00,20000,10/4/19 0:00,714442,KES,year,Flat,0
135006965,27500,Logbook Loan,9/12/19 13:24,25000,11/12/19 0:00,32451336,KES,year,Flat,60.8333333
136595449,10500,Logbook Loan,9/16/19 15:21,10000,10/17/19 0:00,716117,KES,year,Flat,60.8333333
138814489,105000,Logbook Loan,9/20/19 15:22,100000,10/21/19 0:00,14376978,KES,year,Flat,60.8333333
158317079,33000,Logbook Loan,10/9/19 15:09,30000,12/9/19 0:00,714442,KES,year,Flat,60.8333333
163026731,10000,Emergency Loan,10/22/19 16:31,10000,4/22/22 19:04,716117,KES,year,Flat,0
179347153,33000,Logbook Loan,11/18/19 10:56,30000,1/18/20 0:00,32451336,KES,year,Flat,60.8333333
104879651,7000,Emergency Loan,7/31/19 13:27,7000,8/30/19 0:00,724208,KES,year,Flat,0
104879653,1404594,Plot Purchase Financing,8/1/19 0:00,949050,8/8/22 0:00,32860495,KES,year,Flat,16
104879655,32200,Logbook Loan,8/1/19 13:43,28000,10/30/19 0:00,29862573,KES,year,Flat,60.8333333
104879657,6000,Emergency Loan,8/1/19 15:06,6000,8/31/19 0:00,26505396,KES,year,Flat,0
110447335,13000,Emergency Loan,8/6/19 12:53,13000,9/5/19 0:00,22956401,KES,year,Flat,0
110447337,25300,Logbook Loan,8/6/19 13:03,23000,10/5/19 0:00,32860514,KES,year,Flat,60.8333333
158317107,43700,Logbook Loan,10/9/19 13:26,38000,1/8/20 0:00,32860514,KES,year,Flat,60.8333333
174680047,115000,Logbook Loan,11/8/19 12:43,100000,2/7/20 0:00,6065954,KES,year,Flat,60.8333333
222218751,115000,Logbook Loan,1/27/20 16:12,100000,4/27/20 0:00,6065954,KES,year,Flat,60.8333333
247926291,53900,Logbook Loan,2/19/20 13:31,49000,4/20/20 0:00,718001,KES,year,Flat,60.8333333
110447343,55000,Logbook Loan,8/6/19 15:48,50000,10/5/19 0:00,7371421,KES,year,Flat,60.8333333
111261863,52500,Logbook Loan,8/7/19 11:10,50000,9/6/19 0:00,32451347,KES,year,Flat,60.8333333
111261865,11000,Emergency Loan,8/7/19 13:32,11000,9/6/19 0:00,724011,KES,year,Flat,0
111261871,20000,Emergency Loan,8/8/19 14:20,20000,9/7/19 0:00,724323,KES,year,Flat,0
112051281,5000,Emergency Loan,8/9/19 13:43,5000,9/8/19 0:00,31104010,KES,year,Flat,0
119182629,39600,Logbook Loan,8/22/19 13:32,36000,10/22/19 0:00,724323,KES,year,Flat,60.8333333
122143825,30000,Emergency Loan,8/28/19 14:05,30000,9/28/19 0:00,27658025,KES,year,Flat,0
139931411,39000,Emergency Loan,9/25/19 15:40,39000,10/26/19 0:00,27658025,KES,year,Flat,0
112058867,564886,Plot Purchase Financing,8/10/19 0:00,382000,8/27/22 0:00,67185971,KES,year,Flat,16
112058869,564885.67,Plot Purchase Financing,8/10/19 0:00,382000,8/27/22 0:00,67185971,KES,year,Flat,16
113886545,13500,Emergency Loan,8/13/19 13:13,13500,9/13/19 0:00,31104013,KES,year,Flat,0
122876693,560920,Plot Purchase Financing,8/30/19 13:33,379000,10/15/22 0:00,73322241,KES,year,Flat,16
122876695,12650,Logbook Loan,8/30/19 16:04,11000,11/29/19 0:00,32860513,KES,year,Flat,60.8333333
128821301,57500,Logbook Loan,9/3/19 16:09,50000,12/3/19 0:00,32494198,KES,year,Flat,60.8333333
132529499,55200,Logbook Loan,9/6/19 14:35,48000,12/6/19 0:00,713805,KES,year,Flat,60.8333333
134085545,14700,Logbook Loan,9/9/19 12:17,14000,10/10/19 0:00,717066,KES,year,Flat,60.8333333
134085551,5250,Logbook Loan,9/9/19 14:29,5000,10/10/19 0:00,22321138,KES,year,Flat,60.8333333
156464271,11000,Logbook Loan,10/7/19 16:13,10000,12/7/19 0:00,716027,KES,year,Flat,60.8333333
172240929,105000,Logbook Loan,11/5/19 15:54,100000,12/6/19 0:00,717937,KES,year,Flat,60.8333333
134911785,1123320,Plot Purchase Financing,9/11/19 13:25,759000,9/28/22 0:00,79667008,KES,year,Flat,16
134911787,1117400,Plot Purchase Financing,9/11/19 0:00,755000,9/28/22 0:00,79667019,KES,year,Flat,16
135007067,828800,Plot Purchase Financing,9/12/19 0:00,560000,10/28/22 0:00,73322251,KES,year,Flat,16
135749343,6600,Emergency Loan,9/13/19 0:00,6000,10/13/19 0:00,27268958,KES,year,Flat,120
136595559,115000,Logbook Loan,9/16/19 11:39,100000,12/16/19 0:00,713747,KES,year,Flat,60.8333333
136595561,31500,Logbook Loan,9/16/19 15:16,30000,10/17/19 0:00,27268949,KES,year,Flat,60.8333333
161195575,2750,Emergency Loan,10/17/19 0:00,2500,11/17/19 0:00,27268958,KES,year,Flat,120
178449279,16500,Logbook Loan,11/13/19 16:20,15000,11/12/24 21:26,23115142,KES,year,Flat,60.8333333
146427257,115000,Logbook Loan,9/30/19 16:13,100000,3/31/27 23:52,718596,KES,year,Flat,60.8333333
146427259,1123320,Plot Purchase Financing,9/30/19 0:00,759000,9/30/22 0:00,73322239,KES,year,Flat,16
147616917,483000,Logbook Loan,10/1/19 0:00,350000,10/4/21 0:00,717336,KES,year,Flat,19
148512035,1132200,Plot Purchase Financing,10/2/19 9:34,765000,10/2/22 0:00,81722709,KES,year,Flat,16
148512037,92000,Logbook Loan,10/2/19 15:34,80000,1/1/20 0:00,718781,KES,year,Flat,60.8333333
158155667,115000,Logbook Loan,10/7/19 15:04,100000,4/7/27 22:43,5886466,KES,year,Flat,60.8333333
158317243,46000,Logbook Loan,10/8/19 9:46,40000,4/8/27 17:25,55675364,KES,year,Flat,60.8333333
159426997,57500,School Fee Loan,10/11/19 13:10,50000,2/6/21 0:00,44048553,KES,year,Flat,15
160193355,1123320,Plot Purchase Financing,10/16/19 10:58,759000,10/16/22 0:00,86502579,KES,year,Flat,16
160193357,1123320,Plot Purchase Financing,10/16/19 0:00,759000,10/30/22 0:00,92013314,KES,year,Flat,16
161195627,115000,Logbook Loan,10/17/19 16:12,100000,1/16/20 0:00,717797,KES,year,Flat,60.8333333
161347675,11000,Emergency Loan,10/18/19 13:25,10000,11/18/19 0:00,63824726,KES,year,Flat,120
232464535,97750,Logbook Loan,2/3/20 12:14,85000,5/4/20 0:00,30043821,KES,year,Flat,60.8333333
245988797,115000,Logbook Loan,2/14/20 14:49,100000,5/15/20 0:00,717797,KES,year,Flat,60.8333333
163026921,115000,Logbook Loan,10/22/19 16:26,100000,4/23/27 0:05,713351,KES,year,Flat,60.8333333
163026923,73500,Logbook Loan,10/23/19 14:53,70000,11/23/19 0:00,30214114,KES,year,Flat,60.8333333
163026925,1123394,Plot Purchase Financing,10/23/19 15:51,759050,11/23/22 0:00,83552744,KES,year,Flat,16
179527547,42000,Logbook Loan,11/19/19 15:14,40000,12/20/19 0:00,726419,KES,year,Flat,60.8333333
209130711,9020,Emergency Loan,12/17/19 11:00,8200,1/17/20 0:00,63824726,KES,year,Flat,120
245872181,110000,Logbook Loan,2/12/20 15:07,100000,4/13/20 0:00,710075,KES,year,Flat,60.8333333
245872183,115000,Logbook Loan,2/13/20 12:59,100000,5/14/20 0:00,713351,KES,year,Flat,60.8333333
252209587,5500,Emergency Loan,2/24/20 14:03,5000,3/24/20 0:00,63824726,KES,year,Flat,120
270619021,34500,Logbook Loan,3/5/20 12:35,30000,6/4/20 0:00,713756,KES,year,Flat,60.8333333
8359029,616904.43,Plot Purchase Financing,7/17/18 8:39,474000,11/20/21 0:00,708318,KES,year,Declining Balance,18
163357507,560920,Plot Purchase Financing,10/25/19 10:36,379000,10/25/22 0:00,69724659,KES,year,Flat,16
163872763,5000,Emergency Loan,10/28/19 15:53,5000,11/28/19 0:00,30214118,KES,year,Flat,0
163872765,18700,Emergency Loan,10/29/19 0:00,17000,11/29/19 0:00,712305,KES,year,Flat,120
164948091,1263994,Plot Purchase Financing,10/30/19 0:00,854050,10/30/22 0:00,94772838,KES,year,Flat,16
164948093,3520,Emergency Loan,10/30/19 15:09,3200,11/30/19 0:00,56487956,KES,year,Flat,120
174680251,40250,Logbook Loan,11/8/19 12:19,35000,2/7/20 0:00,716195,KES,year,Flat,60.8333333
176190161,16500,Emergency Loan,11/11/19 14:05,15000,12/11/19 0:00,26766088,KES,year,Flat,120
176369937,6000,Emergency Loan,11/12/19 16:29,6000,12/13/19 0:00,61966373,KES,year,Flat,0
178449367,1123394,Plot Purchase Financing,11/13/19 0:00,759050,11/12/22 17:27,99211688,KES,year,Flat,16
178808001,13487.5,School Fee Loan,11/15/19 11:07,13000,3/15/20 0:00,40624879,KES,year,Flat,15
205086971,7000,Emergency Loan,12/13/19 15:43,7000,1/13/20 0:00,61966373,KES,year,Flat,0
215908197,18000,Emergency Loan,1/9/20 10:26,18000,2/9/20 0:00,61966362,KES,year,Flat,0
187366141,769120,Plot Purchase Financing,12/2/19 12:23,759000,12/31/22 0:00,101227392,KES,year,Flat,16
198127633,115000,Logbook Loan,12/4/19 15:35,100000,3/4/20 0:00,35316408,KES,year,Flat,60.8333333
198318717,905760,Plot Purchase Financing,12/5/19 12:18,612000,12/31/22 0:00,106456258,KES,year,Flat,16
198318719,257000,Logbook Loan,12/5/19 13:02,200000,9/27/21 0:00,93923842,KES,year,Flat,19
201177897,46000,Logbook Loan,12/9/19 16:18,40000,3/9/20 0:00,67691276,KES,year,Flat,60.8333333
202349535,55000,Logbook Loan,12/11/19 13:47,50000,2/10/20 0:00,1655535,KES,year,Flat,60.8333333
208931859,1123320,Plot Purchase Financing,12/16/19 0:00,759000,12/16/22 0:00,75672984,KES,year,Flat,16
209245303,22000,Logbook Loan,12/18/19 13:01,20000,2/17/20 0:00,69724651,KES,year,Flat,60.8333333
209245305,10000,Emergency Loan,12/18/19 13:10,10000,1/18/20 0:00,35316403,KES,year,Flat,0
216335159,10000,Emergency Loan,1/16/20 10:43,10000,2/16/20 0:00,67185974,KES,year,Flat,0
215908265,46000,Logbook Loan,1/9/20 15:04,40000,4/9/20 0:00,73322234,KES,year,Flat,60.8333333
216018995,1404594,Plot Purchase Financing,1/10/20 15:28,949050,1/10/23 0:00,118005487,KES,year,Flat,16
216225395,69000,Logbook Loan,1/14/20 9:39,60000,4/14/20 0:00,40184271,KES,year,Flat,60.8333333
216225397,69000,School Fee Loan,1/14/20 11:24,60000,3/8/21 0:00,22469243,KES,year,Flat,15
216335189,8000,Emergency Loan,1/15/20 11:11,8000,2/15/20 0:00,59732980,KES,year,Flat,0
216335191,34500,Logbook Loan,1/16/20 13:19,30000,4/16/20 0:00,716382,KES,year,Flat,15
216335193,92000,Logbook Loan,1/16/20 15:23,80000,4/16/20 0:00,5005008,KES,year,Flat,60.8333333
216543447,32250,School Fee Loan,1/17/20 11:54,30000,7/17/20 0:00,65333783,KES,year,Flat,15
216543449,8000,Emergency Loan,1/17/20 14:26,8000,2/17/20 0:00,55675376,KES,year,Flat,0
216962595,11200,Emergency Loan,1/22/20 15:12,11200,2/22/20 0:00,83552748,KES,year,Flat,0
216962597,10000,Emergency Loan,1/23/20 11:41,10000,2/23/20 0:00,716187,KES,year,Flat,0
217147423,619965,Logbook Loan,1/24/20 0:00,449250,3/24/22 0:00,119108640,KES,year,Flat,19
217147425,16100,Logbook Loan,1/24/20 15:42,14000,4/24/20 0:00,26766085,KES,year,Flat,60.8333333
217147427,39100,Logbook Loan,1/24/20 16:14,34000,4/24/20 0:00,86937800,KES,year,Flat,60.8333333
222219123,46000,Logbook Loan,1/27/20 15:51,40000,7/28/27 23:30,71361780,KES,year,Flat,60.8333333
222219125,10000,Emergency Loan,1/28/20 12:57,10000,2/28/20 0:00,83552755,KES,year,Flat,0
261362787,16500,Logbook Loan,3/2/20 12:59,15000,5/2/20 0:00,67691277,KES,year,Flat,60.8333333
270619243,115000,Logbook Loan,3/4/20 11:08,100000,6/3/20 0:00,39283606,KES,year,Flat,60.8333333
270619245,15000,Emergency Loan,3/4/20 15:51,15000,4/4/20 0:00,1655532,KES,year,Flat,0
274463825,560920,Plot Purchase Financing,3/9/20 0:00,379000,5/9/23 0:00,131660370,KES,year,Flat,16
327254201,55000,Emergency Loan,4/16/20 0:00,50000,5/16/20 0:00,712922,KES,year,Flat,120
327486701,912494,Plot Purchase Financing,4/17/20 14:02,616550,4/17/23 0:00,130878247,KES,year,Flat,16
360480613,1206673.6,Plot Purchase Financing,5/22/20 12:45,815320,5/23/23 6:12,165758665,KES,year,Flat,16
362708197,677440,Plot Purchase Financing,5/26/20 0:00,584000,5/26/21 0:00,163140791,KES,year,Flat,16
364964449,685633.68,Plot Purchase Financing,5/28/20 13:18,463266,5/29/23 6:46,168264187,KES,year,Flat,16
364964451,1123394,Plot Purchase Financing,5/28/20 0:00,759050,5/28/23 17:27,168264190,KES,year,Flat,16
726535,31050,Logbook Loan,2/12/14 13:49,27000,8/19/14 0:00,707540,KES,year,Flat,30
726307,28750,Logbook Loan,9/9/13 13:17,25000,3/9/14 0:00,706026,KES,year,Flat,30
726309,95200,Logbook Loan,7/1/15 15:18,80000,7/1/16 0:00,706025,KES,year,Flat,19
726515,289800,Logbook Loan,6/20/17 12:10,210000,7/2/19 0:00,710733,KES,year,Flat,19
726517,345450.23,Plot Purchase Financing,5/23/15 10:00,314000,6/3/16 0:00,710734,KES,year,Declining Balance,18
726681,210000,Logbook Loan,7/16/15 0:00,200000,8/17/15 0:00,710821,KES,year,Flat,60
728085,69000,Logbook Loan,2/7/14 0:00,60000,11/17/14 0:00,704804,KES,year,Flat,20
728087,5500,Emergency Loan,8/25/12 14:31,5000,9/25/12 0:00,704810,KES,year,Flat,130
728281,242500,Logbook Loan,7/10/13 8:54,200000,7/13/15 0:00,705378,KES,year,Flat,15
728285,21420,Logbook Loan,5/9/15 10:07,18000,1/17/16 0:00,711750,KES,year,Flat,19
728315,5500,Emergency Loan,8/6/12 14:21,5000,9/4/12 0:00,704785,KES,year,Flat,130
730321,593098.34,Plot Purchase Financing,9/15/15 0:00,495000,9/15/17 0:00,712761,KES,year,Declining Balance,18
730427,69000,Logbook Loan,4/16/13 19:59,60000,1/24/14 19:59,706299,KES,year,Flat,20
103500039,10500,Logbook Loan,7/29/19 15:49,10000,8/28/19 0:00,716981,KES,year,Flat,60.8333333
728652,35700,Logbook Loan,11/13/15 10:57,30000,5/18/16 0:00,711885,KES,year,Flat,19
726350,8800,Emergency Loan,4/8/13 0:00,8000,5/9/13 0:00,704913,KES,year,Flat,130
731065,218931.83,Plot Purchase Financing,5/30/15 12:06,199000,5/30/16 0:00,711479,KES,year,Declining Balance,18
34670049,27500,Emergency Loan,2/22/19 0:00,25000,3/30/19 0:00,715073,KES,year,Flat,120
134085547,115000,Logbook Loan,9/9/19 13:26,100000,12/9/19 0:00,7016530,KES,year,Flat,60.8333333
134085549,6300,Logbook Loan,9/9/19 14:06,6000,10/10/19 0:00,716027,KES,year,Flat,60.8333333
134085553,5250,Logbook Loan,9/10/19 16:27,5000,10/11/19 0:00,40184269,KES,year,Flat,60.8333333
163872685,10000,Emergency Loan,10/28/19 12:12,10000,11/28/19 0:00,40184269,KES,year,Flat,0
172241029,790680,Plot Purchase Financing,11/5/19 14:48,599000,11/16/21 0:00,97832685,KES,year,Flat,16
172241031,5000,Emergency Loan,11/5/19 16:02,5000,12/6/19 0:00,724056,KES,year,Flat,0
173366133,10000,Emergency Loan,11/6/19 11:37,10000,12/7/19 0:00,61966362,KES,year,Flat,0
174680149,33000,Logbook Loan,11/8/19 12:17,30000,1/8/20 0:00,22321138,KES,year,Flat,60.8333333
202346691,690000,Logbook Loan,12/11/19 0:00,500000,1/25/22 0:00,715097,KES,year,Flat,19
205086849,115000,Logbook Loan,12/13/19 14:47,100000,3/13/20 0:00,7016530,KES,year,Flat,60.8333333
209245307,33000,Logbook Loan,12/19/19 10:30,30000,2/18/20 0:00,724292,KES,year,Flat,60.8333333
210248345,33000,Emergency Loan,12/30/19 10:42,30000,1/29/20 21:11,711468,KES,year,Flat,120
216225211,55000,Emergency Loan,1/14/20 0:00,50000,2/20/20 0:00,79667018,KES,year,Flat,120
232679493,25300,Logbook Loan,2/6/20 16:15,23000,4/7/20 0:00,22321138,KES,year,Flat,60.8333333
339357187,55000,Logbook Loan,4/29/20 16:24,50000,6/29/20 0:00,724090,KES,year,Flat,60.8333333
351085179,1650,Emergency Loan,5/14/20 0:00,1500,6/14/20 0:00,707326,KES,year,Flat,120
351090343,108309.97,School Fee Loan,5/14/20 12:53,100000,6/7/21 0:00,709254,KES,year,Declining Balance,15
353487987,2200,Emergency Loan,5/16/20 11:01,2000,6/16/20 11:01,707326,KES,year,Flat,120
353494017,115000,Logbook Loan,5/15/20 15:48,100000,8/14/20 0:00,22789290,KES,year,Flat,60.8333333
358067303,110000,Logbook Loan,5/21/20 13:17,100000,6/21/20 13:17,7371442,KES,year,Flat,120
371692151,7700,Emergency Loan,6/1/20 9:22,7000,7/1/20 19:52,1654535,KES,year,Flat,120
726319,550,Emergency Loan,11/12/17 0:00,500,12/12/17 0:00,706029,KES,year,Flat,120
726321,2750,Emergency Loan,1/22/18 0:00,2500,2/22/18 0:00,706029,KES,year,Flat,120
726323,9900,Emergency Loan,3/20/18 15:12,9000,4/21/18 0:00,706029,KES,year,Flat,120
726345,5500,Emergency Loan,10/13/12 0:00,5000,11/14/12 10:16,704915,KES,year,Flat,130
726365,20700,Logbook Loan,5/15/12 10:22,18000,11/17/12 0:00,704572,KES,year,Flat,30
726367,23000,Logbook Loan,4/18/12 0:00,20000,10/19/12 0:00,704571,KES,year,Flat,30
726369,5500,Emergency Loan,7/29/13 0:00,5000,9/1/13 0:00,704571,KES,year,Flat,130
726377,838524.92,Plot Purchase Financing,2/5/18 0:00,700000,2/7/20 0:00,718758,KES,year,Declining Balance,18
726385,21500,School Fee Loan,2/23/18 0:00,20000,9/5/18 0:00,714926,KES,year,Flat,15
726391,35700,Logbook Loan,4/20/15 11:35,30000,10/22/15 0:00,709539,KES,year,Flat,38
726435,5500,Emergency Loan,6/7/13 14:59,5000,8/7/13 0:00,704471,KES,year,Flat,130
726439,584367.29,Plot Purchase Financing,5/16/17 13:05,449000,5/16/20 0:00,716061,KES,year,Declining Balance,18
726441,238000,Logbook Loan,9/8/17 10:25,200000,9/11/18 0:00,715167,KES,year,Flat,19
726449,1229904.55,Plot Purchase Financing,6/4/15 13:23,945000,6/14/18 0:00,710756,KES,year,Declining Balance,18
726451,710780.94,Plot Purchase Financing,1/26/17 10:49,569000,8/26/19 0:00,710756,KES,year,Declining Balance,18
726459,5500,Emergency Loan,5/11/13 0:00,5000,6/8/13 0:00,705237,KES,year,Flat,130
726465,8800,Emergency Loan,6/3/13 0:00,8000,7/2/13 0:00,705236,KES,year,Flat,130
726513,238000,Logbook Loan,6/23/15 0:00,200000,6/23/16 0:00,712610,KES,year,Flat,19
726519,212379.39,Plot Purchase Financing,4/13/16 8:35,194050,4/13/17 0:00,710737,KES,year,Declining Balance,17
726521,227653.95,Plot Purchase Financing,6/25/15 9:58,190000,10/5/17 0:00,710736,KES,year,Declining Balance,18
726537,11500,Logbook Loan,8/29/14 11:37,10000,11/30/14 0:00,707553,KES,year,Flat,60
726543,178125,Logbook Loan,10/9/14 9:11,150000,1/9/16 0:00,707538,KES,year,Flat,15
726545,5500,Emergency Loan,11/21/12 15:18,5000,12/19/12 0:00,704587,KES,year,Flat,130
726547,35700,Logbook Loan,12/1/14 14:58,30000,6/2/15 0:00,705637,KES,year,Flat,38
726551,192750,Logbook Loan,8/20/15 13:40,150000,2/20/17 0:00,705639,KES,year,Flat,19
726567,1650,Emergency Loan,1/11/17 0:00,1500,2/13/17 0:00,714976,KES,year,Flat,120
726569,420932.42,Plot Purchase Financing,7/2/16 0:00,359000,7/5/18 0:00,714975,KES,year,Declining Balance,18
726571,754852.43,Plot Purchase Financing,5/19/15 8:34,630000,5/19/17 0:00,711972,KES,year,Declining Balance,18
726575,19040,Logbook Loan,7/25/15 10:08,16000,2/16/16 0:00,711971,KES,year,Flat,19
726611,21250,Logbook Loan,9/28/11 9:40,20000,3/14/12 0:00,704272,KES,year,Flat,15
726613,57500,Logbook Loan,6/3/13 0:00,50000,3/18/14 0:00,704272,KES,year,Flat,20
726314,9200,Logbook Loan,9/16/13 9:42,8000,6/10/14 0:00,706027,KES,year,Flat,60
726316,909738.95,Plot Purchase Financing,12/23/17 0:00,699000,8/16/21 0:00,718541,KES,year,Declining Balance,18
726318,97750,Logbook Loan,12/2/13 12:58,85000,10/9/14 0:00,706030,KES,year,Flat,18
726320,6600,Emergency Loan,1/2/18 16:05,6000,2/2/18 0:00,706029,KES,year,Flat,120
726322,14300,Emergency Loan,2/6/18 12:32,13000,3/6/18 0:00,706029,KES,year,Flat,120
726324,486755.83,Plot Purchase Financing,12/11/15 10:09,374000,1/21/19 0:00,712865,KES,year,Declining Balance,18
726326,24000,Emergency Loan,2/23/18 14:57,20000,4/23/18 0:00,712865,KES,year,Flat,120
726328,563143.88,Plot Purchase Financing,7/29/16 17:28,470000,8/10/18 0:00,713589,KES,year,Declining Balance,18
726330,17250,Logbook Loan,5/22/14 15:38,15000,10/27/14 0:00,707881,KES,year,Flat,36
726332,103500,Logbook Loan,8/16/14 10:02,90000,8/17/15 0:00,707569,KES,year,Flat,15
726334,119000,Logbook Loan,7/18/16 14:13,100000,7/18/17 0:00,707569,KES,year,Flat,19
726336,192750,Logbook Loan,12/4/17 14:12,150000,6/5/19 0:00,707569,KES,year,Flat,19
726338,912649.14,Plot Purchase Financing,11/7/17 12:06,804000,11/9/20 0:00,717948,KES,year,Declining Balance,18
726340,482687.28,Plot Purchase Financing,3/10/17 9:04,449000,9/10/19 0:00,715769,KES,year,Declining Balance,18
726342,17250,Logbook Loan,7/10/14 11:27,15000,12/19/14 0:00,707971,KES,year,Flat,36
726344,5500,Emergency Loan,10/4/12 14:53,5000,11/8/12 0:00,704916,KES,year,Flat,130
726346,11800,Logbook Loan,1/3/13 16:23,10000,2/13/13 0:00,704915,KES,year,Flat,188
726352,47600,Logbook Loan,6/9/15 0:00,40000,3/10/16 0:00,704913,KES,year,Flat,19
726354,12650,Emergency Loan,3/21/17 11:31,11000,5/25/17 0:00,704913,KES,year,Flat,15
726356,12650,Emergency Loan,8/25/17 11:10,11000,10/26/17 0:00,704913,KES,year,Flat,120
726358,12880,Emergency Loan,1/8/18 9:55,11200,3/10/18 0:00,704913,KES,year,Flat,120
726360,8800,Emergency Loan,11/21/12 14:50,8000,12/25/12 0:00,704920,KES,year,Flat,130
726362,5500,Emergency Loan,5/9/16 0:00,5000,6/9/16 0:00,712821,KES,year,Flat,120
726364,19550,Logbook Loan,4/2/12 15:30,17000,10/9/12 0:00,704570,KES,year,Flat,30
726366,32200,Logbook Loan,11/7/12 12:22,28000,8/20/13 0:00,704572,KES,year,Flat,30
726368,28750,Logbook Loan,9/14/12 9:22,25000,3/19/13 0:00,704571,KES,year,Flat,30
726370,238000,Logbook Loan,6/29/15 0:00,200000,12/30/15 0:00,712621,KES,year,Flat,19
726372,806750,Plot Purchase Financing,2/12/18 10:41,806500,2/20/21 0:00,718748,KES,year,Declining Balance,18
726374,782448,Plot Purchase Financing,12/16/15 0:00,712500,12/17/18 0:00,711631,KES,year,Declining Balance,18
726376,828728.29,Plot Purchase Financing,6/4/16 0:00,805000,6/6/18 0:00,711631,KES,year,Declining Balance,18
726378,384685,Plot Purchase Financing,2/5/18 0:00,379000,2/8/21 0:00,718762,KES,year,Declining Balance,18
726380,616904.43,Plot Purchase Financing,2/9/18 0:00,474000,2/9/21 0:00,718784,KES,year,Declining Balance,18
726382,424668.15,Plot Purchase Financing,7/14/16 0:00,379000,2/2/19 0:00,715263,KES,year,Declining Balance,18
726384,44000,Emergency Loan,3/9/18 0:00,40000,4/20/18 0:00,714924,KES,year,Flat,120
726386,490620.12,Plot Purchase Financing,7/5/16 0:00,429000,10/10/18 0:00,714925,KES,year,Declining Balance,18
